name,price,address,access,area,layout,yyyymm_construction,url
南薬院パークマンション,3590万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩4分,65.1m2（19.69坪）（壁芯）,3LDK,1985年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76899785/
パークハイツ赤坂,3680万円,福岡県福岡市中央区赤坂２,地下鉄空港線「赤坂」徒歩13分,70.01m2（壁芯）,2LDK,1979年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76820170/
スコーレ赤坂,3790万円,福岡県福岡市中央区赤坂１-10-7,地下鉄空港線「赤坂」徒歩2分,74.92m2（壁芯）,3LDK,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77092185/
アンピール百年橋,3799万円,福岡県福岡市中央区清川３-9-23,地下鉄七隈線「渡辺通」徒歩15分,70.11m2（壁芯）,3LDK,1995年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76982906/
藤和薬院コープ,3880万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩3分,70.06m2（壁芯）,3LDK,1979年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77015467/
東急ドエル・アルス博多ステーションサイド,3890万円,福岡県福岡市博多区比恵町,地下鉄空港線「東比恵」徒歩8分,76.15m2（23.03坪）（壁芯）,3LDK,2000年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75810702/
ヒルズ百道,3950万円,福岡県福岡市早良区百道２,地下鉄空港線「藤崎」徒歩3分,56.32m2（壁芯）,2LDK,1998年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77032528/
グランドオーク別府ステーションリンク,3980万円,福岡県福岡市城南区別府２,地下鉄七隈線「別府」徒歩1分,44.59m2（壁芯）,1LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76859544/
リファレンス天神南,3999万円,福岡県福岡市中央区清川２,地下鉄七隈線「渡辺通」徒歩13分,65.32m2（19.75坪）,3LDK,2002年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76816240/
アーバンパレスアクス大濠,4040万円,福岡県福岡市中央区荒戸３-2-45,地下鉄空港線「唐人町」徒歩8分,72.48m2,3LDK,1995年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75309828/
ロイヤルマンションパリエ別府,4280万円,福岡県福岡市城南区田島１,地下鉄七隈線「別府」徒歩9分,76.63m2（23.18坪）（壁芯）,3LDK+S（納戸）,2007年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76858561/
シャトレ高取,4490万円,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩5分,86.47m2（26.15坪）,4LDK,1992年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76576375/
エンゼルハイム大濠公園南,4680万円,福岡県福岡市城南区鳥飼６,地下鉄七隈線「別府」徒歩4分,93.74m2（壁芯）,4LDK,1990年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76627401/
東京ドエルアルス赤坂,4790万円,福岡県福岡市中央区赤坂２,地下鉄空港線「赤坂」徒歩12分,76.41m2（壁芯）,3LDK,1982年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77132047/
ＪＧＭマキシム藤崎,4980万円,福岡県福岡市早良区弥生１,地下鉄空港線「藤崎」徒歩4分,88.54m2（26.78坪）（壁芯）,4LDK,1997年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76961888/
ライオンズタワー赤坂けやき通り,5090万円,福岡県福岡市中央区赤坂２,地下鉄空港線「赤坂」徒歩10分,60.05m2（18.16坪）,2LDK,2007年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76007831/
クリオ渡辺通アーバンマークス,5090万円,福岡県福岡市中央区清川２,地下鉄七隈線「渡辺通」徒歩10分,53.94m2（壁芯）,2LDK,2023年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77122478/
パークハウスセンシア,5250万円,福岡県福岡市中央区地行３,地下鉄空港線「唐人町」徒歩7分,73.46m2（壁芯）,3LDK,2002年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76627402/
シーサイドももちアクアコート10番館,5360万円,福岡県福岡市早良区百道浜３,地下鉄空港線「藤崎」徒歩12分,98.04m2（29.65坪）（壁芯）,4LDK,1993年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77063371/
エテルナ高取Ⅱ,5480万円,福岡県福岡市早良区高取１-17-31,地下鉄空港線「藤崎」徒歩9分,83.06m2,3LDK,1999年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76336701/
ライオンスマンション大濠パークサイド,5480万円,福岡県福岡市中央区鳥飼２,地下鉄空港線「唐人町」徒歩11分,96.85m2（壁芯）,4LDK,2003年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77170480/
ライオンズマンション桜坂シティ,5580万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩1分,76.22m2（壁芯）,3LDK,2005年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76900886/
エンゼルハイム鳥飼中央,5680万円,福岡県福岡市中央区鳥飼１-4-43,地下鉄空港線「西新」徒歩13分,85.12m2,4LDK,2001年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77054938/
ザ・ライオンズ大濠公園,5780万円,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩2分,43.86m2（壁芯）,2LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77105763/
南薬院パークマンション,5880万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩6分,81.58m2（壁芯）,2LDK+S（納戸）,1985年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76797851/
クリオ渡辺通アーバンマークス,5980万円,福岡県福岡市中央区清川２,地下鉄七隈線「渡辺通」徒歩10分,62.45m2（壁芯）,2LDK,2023年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76961069/
ＭＪＲ桜坂プレシャス　中古マンション,6190万円,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩3分,88.95m2（壁芯）,3LDK,2005年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76737473/
MJR桜坂プレシャス,6190万円,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩3分,88.95m2（壁芯）,3LDK,2005年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76720658/
クリオ渡辺通サザンマークス,6480万円,福岡県福岡市中央区清川３,地下鉄七隈線「渡辺通」徒歩15分,67m2（20.26坪）,3LDK,2024年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76132933/
インプレスト天神オークタワー,6980万円,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩8分,75.23m2（22.75坪）（壁芯）,3LDK,2020年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76092283/
ザ・パークハウス赤坂タワーレジデンス,7300万円,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩7分,72.57m2（壁芯）,2LDK,2019年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76973222/
アーバンパレスアクス大濠,7480万円,福岡県福岡市中央区荒戸３,地下鉄空港線「唐人町」徒歩8分,96.31m2（壁芯）,3LDK,1995年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72172682/
ライオンズマンション桜坂シティ,7580万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩1分,100.53m2（壁芯）,4LDK,2005年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76882863/
グランドパレス浄水通り,7880万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩6分,76.88m2（壁芯）,2LDK,2017年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76657203/
レーベン福岡天神 ONE TOWER,7900万円,福岡県福岡市中央区天神５,地下鉄空港線「天神」徒歩8分,70.89m2（壁芯）,2LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75682342/
コアマンション桜坂プレジオヒルズ,8480万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩1分,132.88m2（壁芯）,4LDK,2001年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76637785/
アダージュ薬院弐番館,1億1000万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩2分,91.96m2（27.81坪）（壁芯）,2LDK,2003年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76799826/
フリーディア高取1丁目,1億1500万円,福岡県福岡市早良区高取１-28-12,地下鉄空港線「藤崎」徒歩4分,96.58m2（29.21坪）,3LDK,2023年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77082126/
グランドメゾン浄水ガーデンシティフォレストゲートII…,1億3800万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩6分,95.75m2（壁芯）,4LDK,2018年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76554283/
コアマンションけやき通りプレジオ　1012号,1億6800万円,福岡県福岡市中央区赤坂３,地下鉄七隈線「六本松」徒歩10分,150.4m2（壁芯）,3LDK,2002年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74070175/
レーベン福岡天神　ONE　TOWER,3億3333万円,福岡県福岡市中央区天神５,地下鉄空港線「天神」徒歩8分,142.99m2（壁芯）,3LDK+S（納戸）,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77026674/
ザ・パークハウス福岡タワーズEAST,4億2000万円,福岡県福岡市中央区地行浜２,地下鉄空港線「唐人町」徒歩12分,200.14m2（壁芯）,3LDK,2020年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75682341/
エステート・モア平尾山荘通り,690万円,福岡県福岡市中央区平尾４-5-3,地下鉄七隈線「薬院」徒歩15分,20.52m2（6.20坪）（壁芯）,1K,1994年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77005706/
ライオンズマンション薬院第6,720万円,福岡県福岡市中央区薬院４-4-25,地下鉄七隈線「薬院大通」徒歩5分,20.85m2（6.30坪）（壁芯）,ワンルーム,1991年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76970487/
ウイング藤崎,950万円,福岡県福岡市早良区弥生２,地下鉄空港線「藤崎」徒歩13分,51.03m2（15.43坪）（壁芯）,3DK,1984年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76980258/
ウイング藤崎,1280万円,福岡県福岡市早良区弥生２,地下鉄空港線「藤崎」徒歩14分,47.64m2（登記）,2LDK,1984年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76982346/
日商岩井弥生マンション,1380万円,福岡県福岡市早良区原１-41-1,地下鉄空港線「藤崎」徒歩12分,87.49m2（26.46坪）（壁芯）,4LDK,1979年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77117323/
エステートモア薬院倶楽部,1425万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩6分,27.49m2（壁芯）,2K,2000年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77050627/
東峰マンション博多駅東　　　　　　　　　　　　　　　…,1510万円,福岡県福岡市博多区比恵町,地下鉄空港線「東比恵」徒歩5分,42.82m2（壁芯）,2DK,1985年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76271207/
東峰マンション博多駅東,1590万円,福岡県福岡市博多区比恵町7-27,地下鉄空港線「東比恵」徒歩5分,42.82m2（12.95坪）（壁芯）,2DK,1985年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76414809/
クローバーハイツ六本松,1630万円,福岡県福岡市中央区梅光園２-7-1,地下鉄七隈線「六本松」徒歩8分,54.71m2（16.54坪）（壁芯）,2LDK,1985年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75664352/
ニューライフ天神,1680万円,福岡県福岡市中央区天神４,地下鉄空港線「天神」徒歩8分,43.95m2（壁芯）,2DK,1983年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77072117/
エバーライフ桜坂,1690万円,福岡県福岡市中央区桜坂３-1-1,地下鉄七隈線「桜坂」徒歩5分,47.52m2（壁芯）,1LDK,1979年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76437406/
福陵ハイデンス　　　　　　　　　　　　　　　　　　　…,1699万円,福岡県福岡市早良区荒江２,地下鉄空港線「藤崎」徒歩15分,63.25m2（壁芯）,3LDK,1974年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76746087/
ライオンズマンション天神,1780万円,福岡県福岡市中央区舞鶴１,地下鉄空港線「赤坂」徒歩6分,43.5m2（壁芯）,1LDK,1979年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76562172/
ライオンズマンション天神　　　　　　　　　　　　　　…,1780万円,福岡県福岡市中央区舞鶴１,地下鉄空港線「赤坂」徒歩3分,43.5m2（壁芯）,1LDK,1979年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76715555/
ライオンズマンション天神,1780万円,福岡県福岡市中央区舞鶴１-2-33,地下鉄空港線「赤坂」徒歩5分,43.5m2（13.15坪）（壁芯）,1LDK,1979年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76819226/
ライオンズマンション薬院◆☆上質なデザイン空間☆◆,1798万円,福岡県福岡市中央区薬院３,地下鉄七隈線「薬院」徒歩8分,40.87m2（壁芯）,1LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76718389/
コープオリンピア平尾,1890万円,福岡県福岡市中央区白金２-11-30,地下鉄七隈線「薬院」徒歩14分,55.82m2（16.88坪）（壁芯）,2LDK,1982年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77043026/
東峰マンション大宮　　　　　　　　　　　　　　　　　…,1948万円,福岡県福岡市中央区大宮１,西鉄天神大牟田線「薬院」徒歩7分,60.05m2（壁芯）,2LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76164873/
ライオンズマンション天神南,1980万円,福岡県福岡市中央区今泉２,地下鉄空港線「天神」徒歩8分,33.6m2（壁芯）,1DK,1992年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77062192/
ライオンズマンション西公園,1990万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩10分,54.33m2（壁芯）,2LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75499393/
ライオンズマンション西公園◆☆新規価格改定☆◆,1998万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩9分,54.33m2（16.43坪）（登記）,2LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76351627/
ホワイトキャッスル城南,1998万円,福岡県福岡市城南区茶山６,地下鉄七隈線「別府」徒歩15分,71.96m2（21.76坪）（壁芯）,3LDK,1988年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76018502/
東峰マンション大宮　101,1999万円,福岡県福岡市中央区大宮１-5-31,西鉄天神大牟田線「薬院」徒歩7分,56.61m2（壁芯）,2LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76783580/
イトーピア天神東,2080万円,福岡県福岡市博多区対馬小路11-3,地下鉄空港線「中洲川端」徒歩11分,40.23m2（壁芯）,1LDK,1992年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77054801/
コープ野村南薬院,2080万円,福岡県福岡市中央区薬院４-18-21,地下鉄七隈線「薬院大通」徒歩5分,50.51m2,1LDK,1981年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76788451/
ダイアパレス薬院,2099万円,福岡県福岡市中央区薬院２-2,地下鉄七隈線「薬院大通」徒歩6分,40.95m2,2DK,1984年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76897620/
藤和西新コープ,2180万円,福岡県福岡市早良区城西２,地下鉄空港線「西新」徒歩6分,77.66m2（壁芯）,2LDK+S（納戸）,1977年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77026672/
藤和西新コープ,2180万円,福岡県福岡市早良区城西２,地下鉄空港線「西新」徒歩6分,77.66m2（壁芯）,2LDK+S（納戸）,1977年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75823225/
ライオンズマンションマキシム桜坂,2280万円,福岡県福岡市中央区谷２,地下鉄七隈線「桜坂」徒歩8分,81.79m2（壁芯）,2LDK,1988年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76422525/
ライオンズマンション桜坂,2290万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩6分,66.56m2,2LDK,1983年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74487193/
ユーハイム室見◆☆全室改装済み・価格改定☆◆,2290万円,福岡県福岡市早良区室見５,地下鉄空港線「藤崎」徒歩14分,61.46m2,3LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77030098/
