id,name,price,age,line,station_name,minutes,layout,area,address,url,lat,lon
20945712,ライオンズマンション赤坂,3780,47,地下鉄空港線,赤坂,8,2LDK,58.66,福岡県福岡市中央区赤坂２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20945712/,,
20945917,エバーライフ東平尾公園Ｂ棟,2398,32,地下鉄空港線,福岡空港,13,3LDK,69.99,福岡県福岡市博多区青木１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20945917/,,
20948701,スコーレ赤坂,4500,44,地下鉄空港線,赤坂,1,2LDK,74.92,福岡県福岡市中央区赤坂１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20948701/,,
20952167,ミスモ薬院ネクスト,7500,0,地下鉄七隈線,薬院,6,2LDK,52.7,福岡県福岡市中央区高砂１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20952167/,,
20952542,デュ・レジア薬院スタンス,5480,3,西鉄天神大牟田線,薬院,7,2LDK,43.0,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20952542/,,
20952706,ザ・パークハウス福岡タワーズＥＡＳＴ,12800,6,地下鉄空港線,唐人町,12,2LDK,83.96,福岡県福岡市中央区地行浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20952706/,,
20952827,クラブエイリック藤崎南ザ・テラス,5980,13,地下鉄空港線,藤崎,12,2LDK,84.62,福岡県福岡市早良区原１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20952827/,,
20953358,コアマンション桜坂プレジオ参番館,7299,25,地下鉄七隈線,桜坂,4,3LDK,90.57,福岡県福岡市中央区六本松３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20953358/,,
20954544,シーサイドももちアクアコート　８番館,5890,33,地下鉄空港線,藤崎,14,3LDK,105.56,福岡県福岡市早良区百道浜３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20954544/,,
20954557,ライオンズタワー赤坂けやき通り,9280,19,地下鉄空港線,赤坂,10,3LDK,80.11,福岡県福岡市中央区赤坂２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20954557/,,
20954558,デュ・レジア大濠,6390,6,地下鉄空港線,唐人町,2,2LDK,55.3,福岡県福岡市中央区黒門,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20954558/,,
20956553,六本松パークホームズ,7980,35,地下鉄七隈線,六本松,5,4LDK+S（納戸）,141.91,福岡県福岡市中央区梅光園１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20956553/,,
20956618,コモダス天神,5780,29,地下鉄七隈線,薬院大通,6,3LDK,84.8,福岡県福岡市中央区今泉２-3-41,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20956618/,,
20956832,モントーレ舞鶴ベイレジデンス,6500,7,地下鉄空港線,大濠公園,10,3LDK,76.25,福岡県福岡市中央区港１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20956832/,,
20962480,サーパス城南,6890,19,地下鉄七隈線,別府,13,4LDK,94.85,福岡県福岡市城南区田島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20962480/,,
20962483,ライオンズマンション薬院第５,2980,44,地下鉄七隈線,薬院大通,2,1LDK,46.35,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20962483/,,
20964533,アートウィル赤坂,4780,32,地下鉄七隈線,桜坂,9,3LDK,65.61,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20964533/,,
20968151,パーク・サンリヤン博多の森I・II番館,3880,23,地下鉄空港線,福岡空港,11,4LDK,89.13,福岡県糟屋郡志免町別府西２,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_20968151/,,
71893185,スワローハイツ山荘通,2180,40,地下鉄七隈線,薬院大通,14,3LDK,79.27,福岡県福岡市中央区平尾４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71893185/,,
73662868,サングレート薬院駅ロイヤルウィン,5680,23,西鉄天神大牟田線,薬院,4,1LDK,55.72,福岡県福岡市中央区平尾１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73662868/,,
74279125,ザ・パークハウス桜坂サンリヤン,16500,8,地下鉄七隈線,桜坂,3,4LDK,105.07,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74279125/,,
74671558,ティアラ薬院,4580,35,地下鉄七隈線,薬院大通,3,2LDK,87.4,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74671558/,,
74991725,オーセントスクエア室見アーバンコンフォート,3200,22,地下鉄空港線,藤崎,15,2LDK,60.03,福岡県福岡市早良区室見４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74991725/,,
75026535,エステートマンション大濠・相羽ビル,6800,40,地下鉄七隈線,六本松,9,3LDK,102.26,福岡県福岡市中央区大濠１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75026535/,,
75745223,オープンレジデンシア博多住吉,3490,3,地下鉄七隈線,櫛田神社前,8,1LDK,31.13,福岡県福岡市博多区住吉２-7-1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75745223/,,
75894792,オープンレジデンシア天神今泉,3750,3,地下鉄七隈線,薬院大通,7,1LDK,34.12,福岡県福岡市中央区今泉２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75894792/,,
