name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
高宮パークマンション,2490,福岡県福岡市南区高宮２,西鉄天神大牟田線「薬院」徒歩24分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74407378/,薬院,西鉄天神大牟田線,24,1978-11-01,46
ライオンズマンション西新,2490,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩4分,66.36,1LDK+S（納戸）,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74786168/,藤崎,地下鉄空港線,4,1982-02-01,42
ニューライフ薬院,2490,福岡県福岡市中央区薬院１,西鉄天神大牟田線「薬院」徒歩3分,51.6,2LDK,1986年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71645426/,薬院,西鉄天神大牟田線,3,1986-06-01,38
ライオンズマンション西新,2490,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩5分,66.36,1LDK+S（納戸）,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74777011/,藤崎,地下鉄空港線,5,1982-02-01,42
高宮パークマンション,2490,福岡県福岡市南区高宮２-10-1,地下鉄七隈線「薬院」徒歩22分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74422651/,薬院,地下鉄七隈線,22,1978-11-01,46
ラ・セーヌ浄水,2490,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩2分,54.77,2LDK,1982年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75054014/,薬院大通,地下鉄七隈線,2,1982-01-01,42
高宮パークマンション,2490,福岡県福岡市南区高宮２-１０－１,地下鉄七隈線「薬院」徒歩25分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74513489/,薬院,地下鉄七隈線,25,1978-11-01,46
高宮パークマンション,2490,福岡県福岡市南区高宮２,地下鉄七隈線「渡辺通」徒歩27分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74415034/,渡辺通,地下鉄七隈線,27,1978-11-01,46
ロワールマンション平尾,2490,福岡県福岡市南区高宮１,地下鉄七隈線「薬院」徒歩16分,63.8,2LDK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75013861/,薬院,地下鉄七隈線,16,1985-09-01,39
ライオンズマンション西新,2490,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩4分,66.36,1LDK+S（納戸）,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74141544/,藤崎,地下鉄空港線,4,1982-02-01,42
高宮パークマンション,2490,福岡県福岡市南区高宮２-10-1,地下鉄七隈線「薬院」徒歩22分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75006554/,薬院,地下鉄七隈線,22,1978-11-01,46
ライオンズマンション西新,2490,福岡県福岡市早良区西新７-1,地下鉄空港線「藤崎」徒歩5分,66.36,2LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74289639/,藤崎,地下鉄空港線,5,1982-02-01,42
ライオンズマンション西新,2490,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩3分,66.36,2LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73887761/,藤崎,地下鉄空港線,3,1982-02-01,42
高宮パークマンション,2490,福岡県福岡市南区高宮２,西鉄天神大牟田線「薬院」徒歩24分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74477453/,薬院,西鉄天神大牟田線,24,1978-11-01,46
ニューライフ薬院,2490,福岡県福岡市中央区薬院１,西鉄天神大牟田線「薬院」徒歩3分,51.6,2LDK,1986年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75538344/,薬院,西鉄天神大牟田線,3,1986-06-01,38
高宮パークマンション　中古マンション,2490,福岡県福岡市南区高宮２,西鉄天神大牟田線「薬院」徒歩23分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75258949/,薬院,西鉄天神大牟田線,23,1978-11-01,46
ロイヤルシャトー小笹,2498,福岡県福岡市中央区小笹２,地下鉄七隈線「桜坂」徒歩33分,88.32,3LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75138244/,桜坂,地下鉄七隈線,33,2000-12-01,24
ロイヤルシャトー小笹,2498,福岡県福岡市中央区小笹２,地下鉄七隈線「桜坂」徒歩30分,93.17,3LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75921071/,桜坂,地下鉄七隈線,30,2000-12-01,24
ロイヤルシャトー小笹　中古マンション,2498,福岡県福岡市中央区小笹２-10-25,地下鉄七隈線「桜坂」徒歩32分,88.32,3LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73431709/,桜坂,地下鉄七隈線,32,2000-12-01,24
ロイヤルシャトー小笹703,2498,福岡県福岡市中央区小笹２,地下鉄七隈線「六本松」徒歩33分,88.32,3LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73254887/,六本松,地下鉄七隈線,33,2000-12-01,24
