name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
ロマネスク西公園台7,2990,福岡県福岡市中央区港３,地下鉄空港線「大濠公園」徒歩16分,69.3,3LDK,1991年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74420355/,大濠公園,地下鉄空港線,16,1991-11-01,33
弥生パインマンション,3180,福岡県福岡市早良区弥生２,地下鉄空港線「藤崎」徒歩12分,94.77,3LDK,1982年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74404779/,藤崎,地下鉄空港線,12,1982-03-01,42
グリーンハイツ室見河畔,3290,福岡県福岡市早良区小田部６,地下鉄空港線「姪浜」徒歩22分,72.34,2LDK+S（納戸）,1996年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74775166/,姪浜,地下鉄空港線,22,1996-07-01,28
クリオラベルヴィ博多,3390,福岡県福岡市博多区比恵町,地下鉄空港線「東比恵」徒歩3分,43.36,2LDK,2019年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74792176/,東比恵,地下鉄空港線,3,2019-10-01,5
クリオラベルヴィ博多,3390,福岡県福岡市博多区比恵町,地下鉄空港線「東比恵」徒歩5分,43.36,2LDK,2019年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74802697/,東比恵,地下鉄空港線,5,2019-10-01,5
クラブエイリック室見パークサイド,3480,福岡県福岡市早良区小田部６,地下鉄空港線「姪浜」徒歩23分,65.4,3LDK,2012年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74282683/,姪浜,地下鉄空港線,23,2012-01-01,12
プレサンスロジェ博多駅北,3580,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩16分,57.09,2LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_73728236/,東比恵,地下鉄空港線,16,2019-09-01,5
アクロス原ブルームテラス,3590,福岡県福岡市早良区原４,地下鉄空港線「室見」徒歩18分,71.51,3LDK,2014年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74899761/,室見,地下鉄空港線,18,2014-07-01,10
ライオンズガーデンシティ鳥飼I番館,3680,福岡県福岡市城南区鳥飼４,地下鉄空港線「西新」徒歩15分,74.11,3LDK,1998年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74651887/,西新,地下鉄空港線,15,1998-07-01,26
アンピール天神東,3880,福岡県福岡市中央区春吉２,地下鉄空港線「祇園」徒歩14分,65.04,2LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72841284/,祇園,地下鉄空港線,14,2004-02-01,20
プレサンスロジェ博多駅北,3898,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩15分,66.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74942784/,東比恵,地下鉄空港線,15,2019-09-01,5
プレサンスロジェ博多駅北,3898,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩17分,66.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74862900/,東比恵,地下鉄空港線,17,2019-09-01,5
プレサンスロジェ博多駅北,3898,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩19分,66.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74935496/,東比恵,地下鉄空港線,19,2019-09-01,5
プレサンスロジェ博多駅北,3898,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩17分,66.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74948617/,東比恵,地下鉄空港線,17,2019-09-01,5
〇都心のエリア〇グランディア百道浜通り,3980,福岡県福岡市早良区西新２,地下鉄空港線「西新」徒歩10分,74.46,2LDK,2006年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74560721/,西新,地下鉄空港線,10,2006-04-01,18
エンゼルハイムももち　中古マンション,4190,福岡県福岡市早良区西新２,地下鉄空港線「西新」徒歩10分,70.19,3LDK,1995年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74902566/,西新,地下鉄空港線,10,1995-09-01,29
エンゼルハイムももち,4190,福岡県福岡市早良区西新２,地下鉄空港線「西新」徒歩10分,70.19,3LDK,1995年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74933603/,西新,地下鉄空港線,10,1995-09-01,29
ライオンズ赤坂セントマークス,4230,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩4分,55.46,1LDK+S（納戸）,2007年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74064735/,赤坂,地下鉄空港線,4,2007-05-01,17
パレスト別府駅前,4280,福岡県福岡市城南区別府３,地下鉄空港線「西新」徒歩21分,75.44,3LDK,2006年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74094076/,西新,地下鉄空港線,21,2006-01-01,18
ダイアパレス赤坂けやき通り,4280,福岡県福岡市中央区赤坂３,地下鉄空港線「赤坂」徒歩11分,67.64,3LDK,2000年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74616643/,赤坂,地下鉄空港線,11,2000-09-01,24
ジェネラスマンション百道,4380,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩10分,78.91,3LDK,2004年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74951836/,藤崎,地下鉄空港線,10,2004-01-01,20
ジェネラスマンション百道,4380,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩10分,78.91,3LDK,2004年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74941948/,藤崎,地下鉄空港線,10,2004-01-01,20
アンピールリーヴァス天神,4480,福岡県福岡市中央区春吉１,地下鉄空港線「博多」徒歩20分,74.75,3LDK,1998年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74996654/,博多,地下鉄空港線,20,1998-05-01,26
Asobi+　プレサンスロジェ博多駅北,4490,福岡県福岡市博多区吉塚３,地下鉄空港線「東比恵」徒歩19分,71.14,3LDK,2019年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74949305/,東比恵,地下鉄空港線,19,2019-09-01,5
アトモスももち,4490,福岡県福岡市早良区百道浜４,地下鉄空港線「藤崎」徒歩17分,81.1,2LDK,1993年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74026047/,藤崎,地下鉄空港線,17,1993-11-01,31
エイルマンション吉塚Ⅲ,4580,福岡県福岡市博多区吉塚１,地下鉄空港線「祇園」徒歩18分,65.2,2LDK+S（納戸）,2023年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_73955683/,祇園,地下鉄空港線,18,2023-05-01,1
レネット原,4600,福岡県福岡市早良区原４,地下鉄空港線「室見」徒歩23分,89.8,2LDK,2001年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74163304/,室見,地下鉄空港線,23,2001-11-01,23
ダイアパレスプレッソけやき通り,4880,福岡県福岡市中央区薬院２,地下鉄空港線「赤坂」徒歩11分,65.76,2LDK,1996年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74692306/,赤坂,地下鉄空港線,11,1996-10-01,28
グランフォーレ百道アクアフロント,4980,福岡県福岡市早良区百道３-16-12,地下鉄空港線「藤崎」徒歩10分,71.15,3LDK,2020年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73150701/,藤崎,地下鉄空港線,10,2020-11-01,4
ライオンズタワー赤坂けやき通り,5000,福岡県福岡市中央区赤坂２,地下鉄空港線「赤坂」徒歩10分,60.05,2LDK,2007年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74606216/,赤坂,地下鉄空港線,10,2007-01-01,17
アーティックス大濠,5280,福岡県福岡市中央区鳥飼１,地下鉄空港線「唐人町」徒歩13分,81.12,3LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74918209/,唐人町,地下鉄空港線,13,2004-02-01,20
アメックス西公園桜別荘,5380,福岡県福岡市中央区西公園,地下鉄空港線「大濠公園」徒歩10分,78.36,2LDK,2012年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74513176/,大濠公園,地下鉄空港線,10,2012-09-01,12
ハウベスト赤坂けやき通り,5480,福岡県福岡市中央区赤坂３,地下鉄空港線「赤坂」徒歩12分,79.0,3LDK,1998年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75011369/,赤坂,地下鉄空港線,12,1998-09-01,26
ザ・ライオンズ大濠公園,5800,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩2分,43.86,2LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74826921/,大濠公園,地下鉄空港線,2,2024-01-01,0
ラフォーレ赤坂ルネッサンス,5830,福岡県福岡市中央区赤坂３,地下鉄空港線「赤坂」徒歩15分,90.47,2LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74942805/,赤坂,地下鉄空港線,15,2000-12-01,24
ラフォーレ赤坂ルネッサンス,5830,福岡県福岡市中央区赤坂３,地下鉄空港線「赤坂」徒歩13分,90.47,2LDK,2000年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73880138/,赤坂,地下鉄空港線,13,2000-12-01,24
ザ・ライオンズ百道,5980,福岡県福岡市早良区百道３,地下鉄空港線「藤崎」徒歩9分,82.45,3LDK,2010年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74615383/,藤崎,地下鉄空港線,9,2010-07-01,14
ザ・ライオンズ百道,5980,福岡県福岡市早良区百道３,地下鉄空港線「藤崎」徒歩9分,85.06,4LDK,2010年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74807764/,藤崎,地下鉄空港線,9,2010-07-01,14
パークホームズ西新トラッドマークス,6250,福岡県福岡市早良区西新２,地下鉄空港線「西新」徒歩3分,69.22,3LDK,2018年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73774027/,西新,地下鉄空港線,3,2018-05-01,6
レジデンス百道,6880,福岡県福岡市早良区百道２,地下鉄空港線「藤崎」徒歩3分,84.03,3LDK,2015年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74126354/,藤崎,地下鉄空港線,3,2015-03-01,9
ルッシュ西公園,6980,福岡県福岡市中央区荒戸３,地下鉄空港線「唐人町」徒歩13分,101.94,2LDK,1990年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74145823/,唐人町,地下鉄空港線,13,1990-09-01,34
アルファステイツ高取,7480,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩6分,92.43,3LDK,2010年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74860170/,藤崎,地下鉄空港線,6,2010-02-01,14
ザ・パークハウス福岡タワーズＥＡＳＴ　中古マンション,7480,福岡県福岡市中央区地行浜２,地下鉄空港線「唐人町」徒歩13分,81.73,3LDK,2020年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74552844/,唐人町,地下鉄空港線,13,2020-12-01,4
パークホームズ警固本通り,7950,福岡県福岡市中央区警固２,地下鉄空港線「赤坂」徒歩8分,93.66,2LDK,2009年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74038618/,赤坂,地下鉄空港線,8,2009-10-01,15
大濠オドゥール,8480,福岡県福岡市中央区大濠１,地下鉄空港線「唐人町」徒歩9分,99.99,3LDK,1998年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75022078/,唐人町,地下鉄空港線,9,1998-09-01,26
コアマンションけやき通りプレジオ,9980,福岡県福岡市中央区赤坂３,地下鉄空港線「赤坂」徒歩15分,133.37,4LDK,2002年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74947240/,赤坂,地下鉄空港線,15,2002-10-01,22
プレミスト大濠二丁目,12500,福岡県福岡市中央区大濠２,地下鉄空港線「唐人町」徒歩7分,82.33,2LDK,2023年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73748454/,唐人町,地下鉄空港線,7,2023-03-01,1
レーベン福岡天神ONE TOWER,25000,福岡県福岡市中央区天神５,地下鉄空港線「天神」徒歩8分,100.12,3LDK,2024年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74675008/,天神,地下鉄空港線,8,2024-02-01,0
パールコーポ原,570,福岡県福岡市早良区原５,地下鉄空港線「室見」徒歩24分,51.66,2DK,1979年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_72897986/,室見,地下鉄空港線,24,1979-02-01,45
東峰マンション西公園,680,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩5分,23.38,1DK,1978年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74468543/,大濠公園,地下鉄空港線,5,1978-09-01,46
