name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
サンライフ六本松,3880,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩4分,60.02,2LDK,1984年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20740573/,六本松,地下鉄七隈線,4,1984-05-01,42,20740573
デュ・レジア大濠,3980,福岡県福岡市中央区黒門,地下鉄空港線「唐人町」徒歩2分,35.56,ワンルーム,2020年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21066671/,唐人町,地下鉄空港線,2,2020-11-01,6,21066671
モントーレ東比恵クレア,3980,福岡県福岡市博多区東比恵３,地下鉄空港線「東比恵」徒歩3分,42.77,1LDK,2019年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21294557/,東比恵,地下鉄空港線,3,2019-02-01,7,21294557
西公園ツインタワー,3998,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩10分,83.05,3LDK,1990年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20825534/,大濠公園,地下鉄空港線,10,1990-01-01,36,20825534
赤坂パインマンション,3999,福岡県福岡市中央区赤坂１-2-6,地下鉄空港線「赤坂」徒歩8分,72.0,2LDK,1981年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20777150/,赤坂,地下鉄空港線,8,1981-05-01,45,20777150
パーク・サンリヤン博多の森Ⅰ・Ⅱ番館,4190,福岡県糟屋郡志免町別府西２-24-2,地下鉄空港線「福岡空港」徒歩12分,82.19,3LDK,2003年3月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_20683977/,福岡空港,地下鉄空港線,12,2003-03-01,23,20683977
エバーライフ赤坂,4280,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩14分,63.63,1LDK,1988年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20426588/,桜坂,地下鉄七隈線,14,1988-12-01,38,20426588
ロイヤルマンション西新,4399,福岡県福岡市早良区祖原,地下鉄空港線「西新」徒歩10分,84.48,4LDK,1987年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20617864/,西新,地下鉄空港線,10,1987-11-01,39,20617864
ラ・ミリオーレ室見河畔,4399,福岡県福岡市早良区室見５,地下鉄空港線「藤崎」徒歩15分,54.79,1LDK+S（納戸）,2005年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21179636/,藤崎,地下鉄空港線,15,2005-05-01,21,21179636
チサンマンション西公園,4480,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩8分,68.59,3LDK,1984年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21044780/,大濠公園,地下鉄空港線,8,1984-12-01,42,21044780
トーカンマンション浄水通り,4480,福岡県福岡市中央区薬院４-6-22,地下鉄七隈線「薬院大通」徒歩2分,70.76,2LDK,1987年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21438346/,薬院大通,地下鉄七隈線,2,1987-02-01,39,21438346
≪価格変更≫アートウィル赤坂,4490,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩11分,65.61,2LDK,1994年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20837855/,桜坂,地下鉄七隈線,11,1994-10-01,32,20837855
アースコート渡辺通り,4500,福岡県福岡市中央区清川１-11-5,地下鉄七隈線「渡辺通」徒歩7分,71.66,2LDK,1999年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21389103/,渡辺通,地下鉄七隈線,7,1999-11-01,27,21389103
サヴォイ　ザ・リバーテラス　１３０１号,4599,福岡県福岡市博多区中洲中島町,地下鉄箱崎線「中洲川端」徒歩7分,49.89,2LDK,2006年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21046252/,中洲川端,地下鉄箱崎線,7,2006-02-01,20,21046252
ジョイナス地行浜東,4680,福岡県福岡市中央区伊崎,地下鉄空港線「唐人町」徒歩11分,73.92,2LDK,2006年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20877308/,唐人町,地下鉄空港線,11,2006-03-01,20,20877308
