name,price,address,access,area,layout,yyyymm_construction,url
レジデンス百道,1億800万円,福岡県福岡市早良区百道２,地下鉄空港線「藤崎」徒歩3分,97.95m2（29.62坪）（壁芯）,3LDK+S（納戸）,2015年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_78117844/
グランドメゾン百道プレイス,1億820万円,福岡県福岡市早良区百道２,地下鉄空港線「藤崎」徒歩3分,90.65m2（27.42坪）（壁芯）,3LDK,2016年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77583529/
プレミスト平尾浄水オークハウス,1億900万円,福岡県福岡市中央区平尾浄水町,地下鉄七隈線「薬院大通」徒歩14分,120.12m2（36.33坪）（壁芯）,3LDK,2010年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78078808/
グランドヒルズ大濠一丁目,1億1100万円,福岡県福岡市中央区大濠１-10-24,地下鉄空港線「唐人町」徒歩12分,112.25m2（33.95坪）（壁芯）,3LDK,2003年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77210257/
ＭＪＲ六本松,1億1100万円,福岡県福岡市中央区六本松４,地下鉄七隈線「六本松」徒歩2分,93.01m2（壁芯）,3LDK,2017年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78237369/
ＭＪＲ六本松,1億1100万円,福岡県福岡市中央区六本松４,地下鉄七隈線「六本松」徒歩2分,93.01m2（28.13坪）（壁芯）,3LDK,2017年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77818027/
ＭＪＲ六本松,1億1100万円,福岡県福岡市中央区六本松４,地下鉄七隈線「六本松」徒歩2分,93.01m2（28.13坪）（壁芯）,3LDK,2017年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78221568/
コアマンションけやき通りプレジオ,1億1280万円,福岡県福岡市中央区赤坂３-４－２２,地下鉄七隈線「六本松」徒歩10分,133.37m2（40.34坪）,3LDK,2002年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77805133/
グランドメゾン福岡Ｔｈｅ　Ｃｅｎｔｒａｌ　Ｌｕｘｅ,1億1300万円,福岡県福岡市中央区渡辺通２,西鉄天神大牟田線「薬院」徒歩2分,62.25m2（18.83坪）（壁芯）,1LDK,2025年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78123276/
パークホームズ西新トラッドマークス,1億1800万円,福岡県福岡市早良区西新２-5-2,地下鉄空港線「西新」徒歩4分,107.33m2（32.46坪）（壁芯）,3LDK,2018年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77376973/
パークホームズ西新トラッドマークス,1億1800万円,福岡県福岡市早良区西新２-5,地下鉄空港線「西新」徒歩4分,107.33m2（壁芯）,3LDK,2018年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77895117/
パークホームズ西新トラッドマークス◆☆眺望良好・価格…,1億1800万円,福岡県福岡市早良区西新２,地下鉄空港線「西新」徒歩4分,107.33m2（32.46坪）（壁芯）,3LDK,2018年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76149614/
パークホームズ西新トラッドマークス,1億1800万円,福岡県福岡市早良区西新２,地下鉄空港線「西新」徒歩3分,107.33m2（32.46坪）（壁芯）,3LDK,2018年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76127879/
ネクサス薬院,1億1880万円,福岡県福岡市中央区薬院１-12-10,地下鉄七隈線「薬院大通」徒歩5分,85.38m2（壁芯）,3LDK,2015年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78154836/
ＭＪＲ六本松,1億1990万円,福岡県福岡市中央区六本松４,地下鉄七隈線「六本松」徒歩2分,96.43m2（壁芯）,3LDK,2017年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77791930/
ＭＪＲ博多ザ・レジデンス,1億2000万円,福岡県福岡市博多区美野島１,ＪＲ鹿児島本線「博多」徒歩12分,97.26m2（29.42坪）（壁芯）,3LDK,2025年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77208931/
グランドメゾン浄水ガーデンシティ　セントラルフォレス…,1億2000万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩6分,80.04m2（24.21坪）（壁芯）,3LDK,2022年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78317438/
グランドメゾン福岡Ｔｈｅ　Ｃｅｎｔｒａｌ　Ｌｕｘｅ,1億2700万円,福岡県福岡市中央区渡辺通２,西鉄天神大牟田線「薬院」徒歩2分,69.63m2（21.06坪）（壁芯）,1LDK,2025年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78123277/
ＭＪＲ博多ザ・レジデンス,1億2800万円,福岡県福岡市博多区美野島１,ＪＲ鹿児島本線「博多」徒歩12分,97.26m2（29.42坪）（壁芯）,2LDK,2025年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78238286/
プレサンスロジェ薬院二丁目,1億2890万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩3分,98m2（29.64坪）（壁芯）,3LDK,2020年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78389762/
パークレオ大濠,1億3000万円,福岡県福岡市中央区大濠１,地下鉄空港線「唐人町」徒歩10分,105.61m2（31.94坪）（壁芯）,3LDK+S（納戸）,2001年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78120519/
MJR赤坂タワー,1億3000万円,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩1分,83.92m2（壁芯）,3LDK,2017年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77800339/
ＭＪＲ赤坂タワー,1億3000万円,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩1分,83.92m2（25.38坪）（壁芯）,3LDK,2017年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77705259/
ネクサス薬院,1億3000万円,福岡県福岡市中央区薬院１,地下鉄七隈線「薬院大通」徒歩3分,94.52m2（壁芯）,3LDK,2015年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78294683/
ネクサス薬院,1億3000万円,福岡県福岡市中央区薬院１,地下鉄七隈線「薬院大通」徒歩4分,94.52m2（壁芯）,3LDK,2015年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78255043/
グランアルト天神タワー,1億3500万円,福岡県福岡市中央区今泉２,地下鉄空港線「天神」徒歩10分,110.57m2（33.44坪）（壁芯）,3LDK,2004年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77762519/
グランドメゾン大濠公園２０１７,1億3500万円,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩4分,93.44m2（壁芯）,2LDK,2017年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78085177/
ＭＪＲ赤坂タワー,1億3500万円,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩1分,75.57m2（22.85坪）（壁芯）,2LDK+S（納戸）,2017年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77920260/
パークホームズ大濠一丁目,1億4000万円,福岡県福岡市中央区大濠１,地下鉄七隈線「六本松」徒歩8分,90.52m2（27.38坪）（壁芯）,2LDK,2019年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77451530/
グランドメゾン浄水ガーデンシティフォレストゲートⅢ,1億4200万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩7分,94.06m2（壁芯）,3LDK,2018年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77932987/
レーベン福岡天神　ＯＮＥ　ＴＯＷＥＲ,1億4800万円,福岡県福岡市中央区天神５,地下鉄空港線「天神」徒歩9分,83.43m2（25.23坪）（壁芯）,3LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77793403/
グランアルト天神タワー,1億4800万円,福岡県福岡市中央区今泉２,地下鉄七隈線「天神南」徒歩7分,102.07m2（30.87坪）（壁芯）,2LDK,2004年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77667189/
レーベン福岡天神ONETOWER,1億4800万円,福岡県福岡市中央区天神５,地下鉄空港線「天神」徒歩6分,83.43m2（壁芯）,3LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77748360/
グランドメゾン大濠公園ＴＨＥ　ＣＬＡＳＳ,1億4900万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩4分,80.07m2（24.22坪）（壁芯）,3LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77341516/
