name,price,age,line,station_name,minutes,layout,area,address,url
ロワールマンション荒江,1399,42,地下鉄空港線,西新,19,3LDK,67.71,福岡県福岡市早良区荒江２-7-10,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74768746/
ライオンズマンション生の松原,1480,34,ＪＲ筑肥線,姪浜,27,3LDK,60.59,福岡県福岡市西区下山門４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_75002590/
シャンボール藤崎,1480,46,地下鉄空港線,藤崎,6,2DK,48.8,福岡県福岡市早良区藤崎２-1-45,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74834330/
ネオハイツ新室見,1490,39,ＪＲ筑肥線,姪浜,20,3DK,53.76,福岡県福岡市西区福重４-14-22,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74964055/
トピレック博多,1490,50,ＪＲ鹿児島本線,博多,22,2LDK,52.25,福岡県福岡市博多区博多駅南６,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74892270/
ネオハイツ新室見,1490,39,地下鉄空港線,姪浜,22,3DK,53.76,福岡県福岡市西区福重４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74924752/
原西団地,1490,51,地下鉄空港線,室見,23,3LDK,59.64,福岡県福岡市早良区原３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75002352/
ネオハイツ新室見,1490,39,地下鉄空港線,姪浜,20,3DK,53.76,福岡県福岡市西区福重４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74822992/
室見リバーコーポ,1498,50,地下鉄空港線,藤崎,8,3DK,55.6,福岡県福岡市早良区室見２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74986829/
エメラルドマンション東那珂,1500,40,地下鉄空港線,東比恵,32,2LDK,58.02,福岡県福岡市博多区東那珂３-11-34,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_72118716/
エバーライフ博多駅南,1580,38,地下鉄空港線,東比恵,20,4DK,71.24,福岡県福岡市博多区半道橋１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74534964/
ウイング藤崎,1580,40,地下鉄空港線,藤崎,14,2LDK,47.64,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74483010/
サーパス新室見II,1660,31,地下鉄空港線,姪浜,23,3LDK,69.05,福岡県福岡市西区石丸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74978706/
マンション鳥飼,1680,51,地下鉄空港線,唐人町,17,2LDK,65.54,福岡県福岡市中央区鳥飼１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73270015/
朝日プラザ赤坂,1680,42,地下鉄空港線,赤坂,12,1LDK,46.34,福岡県福岡市中央区警固２-16-20,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71332603/
室見第一住宅,1690,49,地下鉄空港線,室見,15,3LDK,66.39,福岡県福岡市早良区南庄４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74322575/
シティライフ博多駅東,1800,35,地下鉄空港線,東比恵,10,3LDK,60.75,福岡県福岡市博多区東光２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74739226/
室見第一住宅9棟,1850,49,地下鉄空港線,室見,14,2LDK,66.38,福岡県福岡市早良区南庄４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_71934345/
