name,price,address,access,area,layout,yyyymm_construction,url
ザ・パークハウス百道,8580万円,福岡県福岡市早良区百道２,地下鉄空港線「藤崎」徒歩3分,85.13m2（25.75坪）（壁芯）,3LDK,2020年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77960655/
サーパス浄水通り,8800万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,97.42m2（壁芯）,3LDK,2003年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20027075/
パークホームズ警固本通り,8980万円,福岡県福岡市中央区警固２,地下鉄空港線「赤坂」徒歩8分,93.66m2（28.33坪）（壁芯）,3LDK,2009年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78615630/
パークコート赤坂ヒルトップレジデンス,9980万円,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩9分,88.76m2（壁芯）,3LDK,2010年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78598929/
グランドメゾン大濠ブルクレール,9980万円,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩9分,85.42m2（壁芯）,3LDK,2006年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79094486/
ライオンズマンション桜坂シティ,9980万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩1分,100.53m2（壁芯）,3LDK,2005年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20037381/
百道タワー,9980万円,福岡県福岡市早良区百道浜１,地下鉄空港線「西新」徒歩10分,81.73m2（壁芯）,2LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79098275/
ザ・パークハウス福岡タワーズWEST,1億800万円,福岡県福岡市中央区地行浜２,地下鉄空港線「唐人町」徒歩12分,90.35m2（壁芯）,2LDK,2019年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78660361/
グランドメゾン西新レジデンス,1億980万円,福岡県福岡市早良区西新２-1-42,地下鉄空港線「西新」徒歩6分,105.84m2（壁芯）,3LDK,2015年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79120367/
グランドメゾン大濠公園THE CLASS,1億2000万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩4分,60.35m2（壁芯）,2LDK,2024年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005198/
CLUB THE 大濠二丁目,1億2980万円,福岡県福岡市中央区大濠２,地下鉄空港線「唐人町」徒歩7分,91.07m2（壁芯）,2LDK,2019年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20032764/
グランドメゾン福岡 The Central Luxe,1億3500万円,福岡県福岡市中央区渡辺通２,西鉄天神大牟田線「薬院」徒歩2分,74.76m2（22.61坪）（壁芯）,2LDK,2025年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78185359/
ＣＬＵＢ　ＴＨＥ．大濠二丁目,1億4800万円,福岡県福岡市中央区大濠２,地下鉄空港線「唐人町」徒歩7分,88.45m2（壁芯）,3LDK,2019年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79061506/
ザ・パークハウス桜坂サンリヤン,1億6500万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩3分,105.07m2（31.78坪）（壁芯）,4LDK,2018年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74279125/
ブリリアタワー西新,1億6800万円,福岡県福岡市早良区西新４,地下鉄空港線「西新」徒歩1分,79.93m2（壁芯）,2LDK,2021年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79220468/
CLUB THE.薬院ステーションタワー,2億1000万円,福岡県福岡市中央区白金１,西鉄天神大牟田線「薬院」徒歩2分,102.79m2（壁芯）,2LDK,2020年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79044003/
プレミスト天神赤坂タワー,2億1000万円,福岡県福岡市中央区大名２,地下鉄空港線「赤坂」徒歩3分,95.25m2（壁芯）,3LDK,2019年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78711106/
大濠オドゥール,2億1800万円,福岡県福岡市中央区大濠１,地下鉄空港線「唐人町」徒歩9分,146m2（壁芯）,3LDK,1998年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20061154/
プレミスト大濠公園,2億4800万円,福岡県福岡市中央区荒戸３,地下鉄空港線「唐人町」徒歩3分,120.71m2（壁芯）,3LDK,2025年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79003032/
Ｂｒｉｌｌｉａ　Ｔｏｗｅｒ西新・ＰＲＡＬＩＶＡ,3億1000万円,福岡県福岡市早良区西新４,地下鉄空港線「西新」徒歩1分,101.13m2（30.59坪）（壁芯）,2LDK,2021年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_78550441/
ブリリアタワー西新,3億3000万円,福岡県福岡市早良区西新４,地下鉄空港線「西新」徒歩1分,101.82m2（30.80坪）（壁芯）,2LDK,2021年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77901688/
エメラルドマンション姪の浜1,780万円,福岡県福岡市西区下山門１,ＪＲ筑肥線「下山門」徒歩13分,55.43m2（壁芯）,3DK,1988年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_20077437/
ローズマンション山王,980万円,福岡県福岡市博多区山王１-1－15,地下鉄空港線「東比恵」徒歩13分,58.16m2（壁芯）,3LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_79163589/
エメラルドマンション姪の浜,1180万円,福岡県福岡市西区下山門１,ＪＲ筑肥線「下山門」徒歩13分,55.43m2（壁芯）,3DK,1983年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_78359476/
トピレック博多,1280万円,福岡県福岡市博多区博多駅南６,ＪＲ鹿児島本線「竹下」徒歩15分,61.27m2（壁芯）,1LDK,1974年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78096795/
ライオンズマンション今宿,1290万円,福岡県福岡市西区今宿駅前１,ＪＲ筑肥線「今宿」徒歩5分,51.7m2（壁芯）,3DK,1984年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_78633920/
グランピア今宿,1298万円,福岡県福岡市西区今宿駅前１-17-7,ＪＲ筑肥線「今宿」徒歩7分,54.65m2,3LDK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_78622058/
グランピア今宿,1298万円,福岡県福岡市西区今宿駅前１,ＪＲ筑肥線「今宿」徒歩5分,54.65m2（壁芯）,3LDK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_79163087/
